"positive_count","negative_count","label"
32089,19054,"hm_cluster1"
27819,20869,"hm_cluster1"
27446,16022,"hm_cluster1"
26577,14382,"hm_cluster1"
31102,18654,"hm_cluster1"
30642,16997,"hm_cluster1"
25981,16032,"hm_cluster1"
26093,16318,"hm_cluster1"
27359,15031,"hm_cluster1"
29948,15374,"hm_cluster1"
32705,15905,"hm_cluster1"
27839,18600,"hm_cluster1"
30259,19063,"hm_cluster1"
29650,17033,"hm_cluster1"
28009,17821,"hm_cluster1"
25057,14917,"hm_cluster1"
22350,15594,"hm_cluster1"
29809,13196,"hm_cluster1"
25400,14014,"hm_cluster1"
21168,13400,"hm_cluster1"
34184,17081,"hm_cluster1"
31567,19026,"hm_cluster1"
26484,13221,"hm_cluster1"
24618,14626,"hm_cluster1"
30055,16005,"hm_cluster1"
27788,19822,"hm_cluster1"
26436,14309,"hm_cluster1"
26911,15640,"hm_cluster1"
26687,15270,"hm_cluster1"
24832,15526,"hm_cluster1"
26847,14833,"hm_cluster1"
24009,18001,"hm_cluster1"
27298,15590,"hm_cluster1"
25452,13984,"hm_cluster1"
29360,15310,"hm_cluster1"
20900,16638,"hm_cluster1"
27458,18936,"hm_cluster1"
24465,17904,"hm_cluster1"
32706,16675,"hm_cluster1"
30465,15148,"hm_cluster1"
31313,16048,"hm_cluster1"
18960,13551,"hm_cluster1"
27521,20843,"hm_cluster1"
31025,17830,"hm_cluster1"
23143,13621,"hm_cluster1"
26036,16625,"hm_cluster1"
25547,14509,"hm_cluster1"
27925,16915,"hm_cluster1"
28772,20250,"hm_cluster1"
27785,14083,"hm_cluster1"
26520,15048,"hm_cluster1"
29051,18444,"hm_cluster1"
26675,13865,"hm_cluster1"
27642,22348,"hm_cluster1"
24499,17234,"hm_cluster1"
30418,14921,"hm_cluster1"
27475,17217,"hm_cluster1"
24894,14543,"hm_cluster1"
27867,16139,"hm_cluster1"
24741,16715,"hm_cluster1"
32245,14893,"hm_cluster1"
31572,15353,"hm_cluster1"
23292,13689,"hm_cluster1"
26596,20950,"hm_cluster1"
25381,16904,"hm_cluster1"
21302,14338,"hm_cluster1"
30006,16900,"hm_cluster1"
25848,16229,"hm_cluster1"
29360,16996,"hm_cluster1"
25835,21624,"hm_cluster1"
28709,16787,"hm_cluster1"
23259,18695,"hm_cluster1"
31746,17580,"hm_cluster1"
28555,15641,"hm_cluster1"
28715,15483,"hm_cluster1"
30040,15888,"hm_cluster1"
21631,14051,"hm_cluster1"
26420,13699,"hm_cluster1"
38570,20460,"hm_cluster1"
27495,14175,"hm_cluster1"
25226,14555,"hm_cluster1"
29917,18053,"hm_cluster1"
25290,16129,"hm_cluster1"
24183,15437,"hm_cluster1"
28055,19587,"hm_cluster1"
22856,15637,"hm_cluster1"
26538,13832,"hm_cluster1"
22589,14953,"hm_cluster1"
22540,12708,"hm_cluster1"
24675,18418,"hm_cluster1"
26911,13321,"hm_cluster1"
27850,17401,"hm_cluster1"
27244,18065,"hm_cluster1"
24647,19841,"hm_cluster1"
28106,15028,"hm_cluster1"
24894,17811,"hm_cluster1"
24382,16503,"hm_cluster1"
27190,14938,"hm_cluster1"
32890,15103,"hm_cluster1"
24758,19850,"hm_cluster1"
31769,15866,"hm_cluster1"
24811,14708,"hm_cluster1"
32248,16402,"hm_cluster1"
29725,15845,"hm_cluster1"
27641,19832,"hm_cluster1"
32546,16724,"hm_cluster1"
23323,14528,"hm_cluster1"
25871,18099,"hm_cluster1"
26541,16971,"hm_cluster1"
30656,20305,"hm_cluster1"
24578,15038,"hm_cluster1"
25333,16659,"hm_cluster1"
28142,13656,"hm_cluster1"
29822,18063,"hm_cluster1"
27486,15585,"hm_cluster1"
24669,16162,"hm_cluster1"
27114,16767,"hm_cluster1"
25677,14545,"hm_cluster1"
25325,18256,"hm_cluster1"
26865,15416,"hm_cluster1"
20473,14602,"hm_cluster1"
29389,17702,"hm_cluster1"
24643,10393,"hm_cluster1"
34218,19844,"hm_cluster1"
26913,16963,"hm_cluster1"
24292,14223,"hm_cluster1"
21838,14388,"hm_cluster1"
26958,17127,"hm_cluster1"
30520,15668,"hm_cluster1"
26256,16685,"hm_cluster1"
24704,14007,"hm_cluster1"
26068,14264,"hm_cluster1"
24494,14650,"hm_cluster1"
20363,14858,"hm_cluster1"
29808,15990,"hm_cluster1"
36320,23668,"hm_cluster1"
19186,13178,"hm_cluster1"
25980,13595,"hm_cluster1"
29050,14453,"hm_cluster1"
26658,18661,"hm_cluster1"
32466,18241,"hm_cluster1"
30456,16979,"hm_cluster1"
32621,18986,"hm_cluster1"
24542,17450,"hm_cluster1"
25355,15491,"hm_cluster1"
29990,15401,"hm_cluster1"
29047,15770,"hm_cluster1"
28109,16913,"hm_cluster1"
30019,17744,"hm_cluster1"
24637,14747,"hm_cluster1"
31642,21085,"hm_cluster1"
25262,14837,"hm_cluster1"
29049,14134,"hm_cluster1"
26895,13822,"hm_cluster1"
31564,18959,"hm_cluster1"
29986,15339,"hm_cluster1"
30814,19868,"hm_cluster1"
24595,18622,"hm_cluster1"
25618,18591,"hm_cluster1"
27908,16875,"hm_cluster1"
30337,15982,"hm_cluster1"
23216,16924,"hm_cluster1"
22540,13660,"hm_cluster1"
28177,14828,"hm_cluster1"
31500,17625,"hm_cluster1"
32250,15853,"hm_cluster1"
27459,18435,"hm_cluster1"
31411,17946,"hm_cluster1"
22935,13100,"hm_cluster1"
25367,13975,"hm_cluster1"
22207,10849,"hm_cluster1"
27066,17474,"hm_cluster1"
31463,16208,"hm_cluster1"
28299,16039,"hm_cluster1"
30181,20957,"hm_cluster1"
23479,13699,"hm_cluster1"
25561,17530,"hm_cluster1"
30425,19957,"hm_cluster1"
28731,20065,"hm_cluster1"
25554,13394,"hm_cluster1"
37552,18332,"hm_cluster1"
29081,20566,"hm_cluster1"
20286,14462,"hm_cluster1"
28264,16480,"hm_cluster1"
30628,15416,"hm_cluster1"
28907,16572,"hm_cluster1"
21234,13484,"hm_cluster1"
28106,21663,"hm_cluster1"
25138,17553,"hm_cluster1"
23348,14310,"hm_cluster1"
22671,14508,"hm_cluster1"
29921,17353,"hm_cluster1"
28026,18242,"hm_cluster1"
31559,15728,"hm_cluster1"
29822,17395,"hm_cluster1"
27386,18404,"hm_cluster1"
28159,18233,"hm_cluster1"
24340,15993,"hm_cluster1"
25235,17890,"hm_cluster1"
32147,19075,"hm_cluster1"
21584,11076,"hm_cluster1"
27170,15365,"hm_cluster1"
29260,17521,"hm_cluster1"
24479,21582,"hm_cluster1"
26475,15950,"hm_cluster1"
26076,13103,"hm_cluster1"
24168,15775,"hm_cluster1"
27011,14161,"hm_cluster1"
24219,14536,"hm_cluster1"
27086,15618,"hm_cluster1"
27160,16393,"hm_cluster1"
26286,15138,"hm_cluster1"
28603,19712,"hm_cluster1"
24577,13194,"hm_cluster1"
