"geneName","teName","coef","pair","group","age"
"ZNF133","L1MB7",0.569888971245045,"L1MB7:ZNF133","positive","old"
"ZNF133","L1MC4",0.526700714582577,"L1MC4:ZNF133","positive","old"
"ZNF133","L1MCa",-0.532299083898747,"L1MCa:ZNF133","negative","old"
"ZNF133","L1MDa",-0.493444191322853,"L1MDa:ZNF133","negative","old"
"ZNF133","L1ME3A",0.488815954339118,"L1ME3A:ZNF133","positive","old"
"ZNF133","L1MEb",-0.643246050674778,"L1MEb:ZNF133","negative","old"
"ZNF133","L1MEc",-0.521957759071833,"L1MEc:ZNF133","negative","old"
"ZNF133","L1MEf",-0.527849627433132,"L1MEf:ZNF133","negative","old"
"ZNF133","L1MEg2",0.594876351706393,"L1MEg2:ZNF133","positive","old"
"ZNF133","L1P4",-0.447813246354976,"L1P4:ZNF133","negative","old"
"ZNF133","L1PB1",-0.468458643449526,"L1PB1:ZNF133","negative","old"
"ZNF133","L1PBa",-0.47403070675312,"L1PBa:ZNF133","negative","old"
"ZNF133","LTR10B1",0.547896814670844,"LTR10B1:ZNF133","positive","young"
"ZNF133","LTR7Y",0.636485151912537,"LTR7Y:ZNF133","positive","young"
"ZNF133","MER11A",0.660823562073702,"MER11A:ZNF133","positive","young"
"ZNF133","MER39",0.61339201922199,"MER39:ZNF133","positive","old"
"ZNF133","MER63A",0.646863947330274,"MER63A:ZNF133","positive","old"
"ZNF133","MER8",0.62413496891298,"MER8:ZNF133","positive","old"
"ZNF133","Tigger2",0.494012102340708,"Tigger2:ZNF133","positive","old"
"ZNF133","Tigger2a",0.603042734156742,"Tigger2a:ZNF133","positive","old"
"ZNF484","L1MB5",0.618299298076204,"L1MB5:ZNF484","positive","old"
"ZNF484","L1MB8",0.599958385438219,"L1MB8:ZNF484","positive","old"
"ZNF484","L1MC5",0.726119750558475,"L1MC5:ZNF484","positive","old"
"ZNF337","L1M2",-0.556360165253426,"L1M2:ZNF337","negative","young"
"ZNF337","L1M2c",-0.662692112090584,"L1M2c:ZNF337","negative","young"
"ZNF337","L1M4",-0.660026461989623,"L1M4:ZNF337","negative","young"
