"label","group","count"
"cbe_control","positive",5547
"cbe_control","negative",3766
"cbe_control","all",9313
"cbe_control","positive",4808
"cbe_control","negative",2935
"cbe_control","all",7743
"cbe_control","positive",6202
"cbe_control","negative",4050
"cbe_control","all",10252
"cbe_control","positive",5177
"cbe_control","negative",3388
"cbe_control","all",8565
"cbe_control","positive",4559
"cbe_control","negative",2841
"cbe_control","all",7400
"cbe_control","positive",6401
"cbe_control","negative",4199
"cbe_control","all",10600
"cbe_control","positive",7951
"cbe_control","negative",4927
"cbe_control","all",12878
"cbe_control","positive",6807
"cbe_control","negative",4554
"cbe_control","all",11361
"cbe_control","positive",4665
"cbe_control","negative",2849
"cbe_control","all",7514
"cbe_control","positive",4374
"cbe_control","negative",2708
"cbe_control","all",7082
"cbe_control","positive",4792
"cbe_control","negative",2897
"cbe_control","all",7689
"cbe_control","positive",6394
"cbe_control","negative",4189
"cbe_control","all",10583
"cbe_control","positive",4224
"cbe_control","negative",2584
"cbe_control","all",6808
"cbe_control","positive",5800
"cbe_control","negative",3663
"cbe_control","all",9463
"cbe_control","positive",5977
"cbe_control","negative",3919
"cbe_control","all",9896
"cbe_control","positive",5153
"cbe_control","negative",3267
"cbe_control","all",8420
"cbe_control","positive",5265
"cbe_control","negative",3146
"cbe_control","all",8411
"cbe_control","positive",6563
"cbe_control","negative",4490
"cbe_control","all",11053
"cbe_control","positive",4897
"cbe_control","negative",3048
"cbe_control","all",7945
"cbe_control","positive",7974
"cbe_control","negative",5107
"cbe_control","all",13081
"cbe_control","positive",5807
"cbe_control","negative",3504
"cbe_control","all",9311
"cbe_control","positive",6254
"cbe_control","negative",4361
"cbe_control","all",10615
"cbe_control","positive",4672
"cbe_control","negative",2924
"cbe_control","all",7596
"cbe_control","positive",6286
"cbe_control","negative",4240
"cbe_control","all",10526
"cbe_control","positive",7475
"cbe_control","negative",4956
"cbe_control","all",12431
"cbe_control","positive",5875
"cbe_control","negative",3815
"cbe_control","all",9690
"cbe_control","positive",5286
"cbe_control","negative",3317
"cbe_control","all",8603
"cbe_control","positive",5729
"cbe_control","negative",3668
"cbe_control","all",9397
"cbe_control","positive",5484
"cbe_control","negative",3186
"cbe_control","all",8670
"cbe_control","positive",5079
"cbe_control","negative",3087
"cbe_control","all",8166
"cbe_control","positive",5514
"cbe_control","negative",3612
"cbe_control","all",9126
"cbe_control","positive",4745
"cbe_control","negative",2816
"cbe_control","all",7561
"cbe_control","positive",7704
"cbe_control","negative",5015
"cbe_control","all",12719
"cbe_control","positive",4358
"cbe_control","negative",2626
"cbe_control","all",6984
"cbe_control","positive",5355
"cbe_control","negative",3079
"cbe_control","all",8434
"cbe_control","positive",5203
"cbe_control","negative",3071
"cbe_control","all",8274
"cbe_control","positive",4075
"cbe_control","negative",2361
"cbe_control","all",6436
"cbe_control","positive",5776
"cbe_control","negative",3836
"cbe_control","all",9612
"cbe_control","positive",4767
"cbe_control","negative",2917
"cbe_control","all",7684
"cbe_control","positive",4159
"cbe_control","negative",2478
"cbe_control","all",6637
"cbe_control","positive",5444
"cbe_control","negative",3535
"cbe_control","all",8979
"cbe_control","positive",5745
"cbe_control","negative",3785
"cbe_control","all",9530
"cbe_control","positive",6534
"cbe_control","negative",4236
"cbe_control","all",10770
"cbe_control","positive",4904
"cbe_control","negative",3369
"cbe_control","all",8273
"cbe_control","positive",6435
"cbe_control","negative",4732
"cbe_control","all",11167
"cbe_control","positive",4815
"cbe_control","negative",3064
"cbe_control","all",7879
"cbe_control","positive",6038
"cbe_control","negative",3646
"cbe_control","all",9684
"cbe_control","positive",6494
"cbe_control","negative",4370
"cbe_control","all",10864
"cbe_control","positive",4696
"cbe_control","negative",2998
"cbe_control","all",7694
"cbe_control","positive",5883
"cbe_control","negative",3452
"cbe_control","all",9335
"cbe_control","positive",5904
"cbe_control","negative",3411
"cbe_control","all",9315
"cbe_control","positive",5672
"cbe_control","negative",3730
"cbe_control","all",9402
"cbe_control","positive",5951
"cbe_control","negative",3967
"cbe_control","all",9918
"cbe_control","positive",5882
"cbe_control","negative",3394
"cbe_control","all",9276
"cbe_control","positive",7446
"cbe_control","negative",4694
"cbe_control","all",12140
"cbe_control","positive",6017
"cbe_control","negative",4059
"cbe_control","all",10076
"cbe_control","positive",5245
"cbe_control","negative",3635
"cbe_control","all",8880
"cbe_control","positive",4305
"cbe_control","negative",2670
"cbe_control","all",6975
"cbe_control","positive",6211
"cbe_control","negative",4060
"cbe_control","all",10271
"cbe_control","positive",4884
"cbe_control","negative",2756
"cbe_control","all",7640
"cbe_control","positive",6466
"cbe_control","negative",3758
"cbe_control","all",10224
"cbe_control","positive",5515
"cbe_control","negative",3290
"cbe_control","all",8805
"cbe_control","positive",4452
"cbe_control","negative",2536
"cbe_control","all",6988
"cbe_control","positive",6145
"cbe_control","negative",3993
"cbe_control","all",10138
"cbe_control","positive",5664
"cbe_control","negative",3424
"cbe_control","all",9088
"cbe_control","positive",5361
"cbe_control","negative",3692
"cbe_control","all",9053
"cbe_control","positive",5014
"cbe_control","negative",3262
"cbe_control","all",8276
"cbe_control","positive",4677
"cbe_control","negative",2961
"cbe_control","all",7638
"cbe_control","positive",5251
"cbe_control","negative",3316
"cbe_control","all",8567
"cbe_control","positive",5654
"cbe_control","negative",3589
"cbe_control","all",9243
"cbe_control","positive",6309
"cbe_control","negative",4059
"cbe_control","all",10368
"cbe_control","positive",6973
"cbe_control","negative",4466
"cbe_control","all",11439
"cbe_control","positive",5266
"cbe_control","negative",3678
"cbe_control","all",8944
"cbe_control","positive",5305
"cbe_control","negative",2942
"cbe_control","all",8247
"cbe_control","positive",5779
"cbe_control","negative",3659
"cbe_control","all",9438
"cbe_control","positive",5437
"cbe_control","negative",3631
"cbe_control","all",9068
"cbe_control","positive",5026
"cbe_control","negative",3318
"cbe_control","all",8344
"cbe_control","positive",5521
"cbe_control","negative",3662
"cbe_control","all",9183
"cbe_control","positive",5508
"cbe_control","negative",3524
"cbe_control","all",9032
"cbe_control","positive",5428
"cbe_control","negative",3276
"cbe_control","all",8704
