"repName","repClass","repFamily","species","clade","age"
"L1M3b","LINE","L1",NA,NA,"old"
"LTR1B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR9C","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"HUERS-P2-int","LTR","ERV1",NA,NA,"old"
"L1P4b","LINE","L1",NA,NA,"old"
"MER92D","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER110-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER83C","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1P4a","LINE","L1",NA,NA,"old"
"L1P4d","LINE","L1",NA,NA,"old"
"LTR53-int","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"HERVP71A-int","LTR","ERV1",NA,NA,"old"
"Charlie3","DNA","hAT-Charlie","Simiiformes","Haplorrhini.","young"
"MER101B","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"HERVL32-int","LTR","ERVL",NA,NA,"old"
"LTR58","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"Ricksha_b","DNA","MULE-MuDR","Primates","Euarchontoglires.","old"
"LTR22E","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR73","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MLT1E-int","LTR","ERVL-MaLR",NA,NA,"old"
"MER57C2","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"LTR35B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR22B","LTR","ERVK","Catarrhini","Simiiformes.","young"
"L1PBa1","LINE","L1",NA,NA,"old"
"Tigger17b","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"LTR27D","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Eulor11","DNA","DNA","Amniota","Tetrapoda.","old"
"LTR5","LTR","ERVK","Hominoidea","Catarrhini.","young"
"LTR19C","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR25-int","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"HERVH48-int","LTR","ERV1",NA,NA,"old"
"LTR30","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR52-int","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MSTB2-int","LTR","ERVL-MaLR",NA,NA,"old"
"HERVKC4-int","LTR","ERVK",NA,NA,"old"
"LTR22","LTR","ERVK","Catarrhini","Simiiformes.","young"
"MER67D","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER87B","LTR","ERV1","Primates","Euarchontoglires.","old"
"MLT1G3-int","LTR","ERVL-MaLR",NA,NA,"old"
"Charlie11","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER88","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR108e_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER92C","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"HERVI-int","LTR","ERV1",NA,NA,"old"
"LTR10B1","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR25","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR60","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR3","LTR","ERVK","Catarrhini","Simiiformes.","young"
"HERVK3-int","LTR","ERVK",NA,NA,"old"
"L1P","LINE","L1",NA,NA,"old"
"hAT-16_Crp","DNA","hAT-Charlie",NA,NA,"old"
"LTR108d_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR18C","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"MER83A-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"Charlie6","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR72","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER76-int","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR14C","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR47B","LTR","ERVL","Primates","Euarchontoglires.","old"
"LTR38C","LTR","ERV1","Primates","Euarchontoglires.","old"
"HERV1_LTRa","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L2-3_AMi","LINE","L2",NA,NA,"old"
"LTR10G","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR108c_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR108b_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"ERVL47-int","LTR","ERVL",NA,NA,"old"
"LTR59","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Chompy-7_Croc","DNA","PIF-Harbinger",NA,NA,"old"
"MER57E3","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR70","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1P4c","LINE","L1",NA,NA,"old"
"HERVK11D-int","LTR","ERVK",NA,NA,"old"
"MLT1E1-int","LTR","ERVL-MaLR",NA,NA,"old"
"HERV1_I-int","LTR","ERV1",NA,NA,"old"
"Charlie12","DNA","hAT-Charlie","Primates","Euarchontoglires.","old"
"HERV15-int","LTR","ERV1",NA,NA,"old"
"LTR109A2","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MamRep1161","DNA","TcMar-Tigger",NA,NA,"old"
"HERV-Fc1_LTR3","LTR","ERV1","Hominidae","Hominoidea.","young"
"HERV-Fc1-int","LTR","ERV1",NA,NA,"old"
"LTR43-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"Tigger1a_Mars","DNA","TcMar-Tigger",NA,NA,"old"
"Chompy-6_Croc","DNA","PIF-Harbinger","Amniota","Tetrapoda.","old"
"HERV1_LTRc","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER9B","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR22C","LTR","ERVK","Catarrhini","Simiiformes.","young"
"HERV-Fc1_LTR1","LTR","ERV1","Hominidae","Hominoidea.","young"
"MLT1M-int","LTR","ERVL-MaLR",NA,NA,"old"
"HERV1_LTRe","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"HERV1_LTRb","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"HERV-Fc2-int","LTR","ERV1",NA,NA,"old"
"HERV-Fc1_LTR2","LTR","ERV1","Hominidae","Hominoidea.","young"
"L2d","LINE","L2",NA,NA,"old"
"MLT1C2","LTR","ERVL-MaLR","Boreoeutheria","Eutheria.","old"
"L2d2","LINE","L2",NA,NA,"old"
"MamRep1879","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MamGypLTR4","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER53","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"hAT-1_Mam","DNA","hAT-Tag1","Theria <mammals>","Mammalia.","old"
"MamTip2b","DNA","hAT-Tip100","Theria <mammals>","Mammalia.","old"
"X6a_DNA","DNA","TcMar-Tigger","Mammalia","Amniota.","old"
"Charlie16","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"X11_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"X9b_DNA","DNA","TcMar-Tigger","Mammalia","Amniota.","old"
"X26_DNA","DNA","TcMar-Tigger","Mammalia","Amniota.","old"
"X4a_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"X30_DNA","DNA","DNA","Theria <mammals>","Mammalia.","old"
"Chap1a_Mam","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie31a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"X12_DNA","DNA","TcMar-Tigger","Mammalia","Amniota.","old"
"Arthur2","DNA","hAT-Tip100","Mammalia","Amniota.","old"
"MamRep38","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"AluYb10","SINE","Alu",NA,NA,"old"
"Tigger6","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"UCON44","DNA","TcMar-Tigger","Mammalia","Amniota.","old"
"MamRep1894","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"AluYb8a1","SINE","Alu",NA,NA,"old"
"Charlie32a","DNA","hAT-Charlie","Theria <mammals>","Mammalia.","old"
"X32_DNA","DNA","TcMar-Tc1","Theria <mammals>","Mammalia.","old"
"X6b_DNA","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"AmnL2-1","LINE","L2","Amniota","Tetrapoda.","old"
"UCON105","DNA","hAT","Mammalia","Amniota.","old"
