"repName","repClass","repFamily","species","clade","age"
"L1M5","LINE","L1",NA,NA,"old"
"MLT1J","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"AluJr4","SINE","Alu","Primates","Euarchontoglires.","old"
"Tigger1","DNA","TcMar-Tigger","Afrotheria","Eutheria.","old"
"AluSg4","SINE","Alu","Primates","Euarchontoglires.","old"
"THE1D","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"LTR33","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER66-int","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"AluSx4","SINE","Alu","Primates","Euarchontoglires.","old"
"MER67B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"L1PA3","LINE","L1",NA,NA,"old"
"Charlie15a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1ME4b","LINE","L1",NA,NA,"old"
"MER4-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1MD2","LINE","L1",NA,NA,"old"
"MLT2D","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER66B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR10D","LTR","ERV1","Catarrhini","Simiiformes.","young"
"Tigger3d","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"L1PA6","LINE","L1",NA,NA,"old"
"L1MCa","LINE","L1",NA,NA,"old"
"L1PA11","LINE","L1",NA,NA,"old"
"MER21C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER97a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"Tigger2b_Pri","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER20B","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1PA7","LINE","L1",NA,NA,"old"
"MER2","DNA","TcMar-Tigger","Glires","Euarchontoglires.","old"
