"pair","ctrl-coef","ctrl-padj","AD-coef","AD-padj"
"MER61D:ZNF506",0.746928492101814,0.0047302483685411,0.181131650821198,0.713744387507235
"L1MA6:ZNF211",-0.72641888770393,0.00681751251046611,0.0246324101950761,0.970214522314428
"MER11A:ZNF133",0.723531492333619,0.00717428563640797,0.284770598077488,0.509049521709898
"AluY:ZNF182",0.714465304677497,0.00836587068698256,0.342544875545229,0.397793380400498
"AluYc:ZNF182",0.761439519995046,0.00350171965289151,0.373508259946044,0.341395820814966
"L1M4c:ZNF182",0.725857768211638,0.00689028110879393,0.697092999822465,0.0196565949900497
"AluSg7:ZNF519",-0.70722171539309,0.00942913609097468,-0.710458597828254,0.0158375007339651
"AluSg:ZNF519",-0.71027034114788,0.00896483895131867,-0.684001518037902,0.0235680700299176
"AluSq2:ZNF519",-0.709787645918806,0.00903080290674012,-0.691247088189726,0.0213959621826932
"AluSx1:ZNF519",-0.709052755216338,0.00914220422154707,-0.674767902633485,0.0268227896599606
"AluSx:ZNF519",-0.715049083885203,0.00830549849219707,-0.70273606388535,0.0178865517726688
"AluSz6:ZNF519",-0.717387718884619,0.00801080787685526,-0.706414808737529,0.0168039224815781
"AluSz:ZNF519",-0.716989594253831,0.00806298126162358,-0.691983559317727,0.021334710811312
"AluYc:ZNF519",-0.704718938210088,0.00983012369279027,-0.684167555804881,0.0235013617021779
"MER57-int:ZNF708",0.739393411225102,0.00542369426108879,0.600316945437645,0.0653322872092576
"HAL1:ZNF197",0.752243612389539,0.00425115355186434,0.675764674993816,0.02645001338394
"L1MEg:ZNF567",0.755361350949964,0.00396355068470501,0.384591313688666,0.322444715384427
"AluYc:ZNF786",-0.753814676699824,0.00412638854370513,-0.570919085362396,0.0868266212909725
"MSTD-int:ZNF675",0.713129224029166,0.00853479093792554,0.665100342311391,0.0306617609530695
"LTR10C:ZNF587",0.809272795751949,0.00120471897541099,0.59709561605247,0.067505978435255
"SVA_D:ZNF736",-0.732421755165258,0.00614234565381592,-0.570184523275634,0.0873858923870718
