"geneName","teName","coef","pair","group"
"ZNF133","MER11A",0.660823562073702,"MER11A:ZNF133","positive"
"ZNF133","MER39",0.61339201922199,"MER39:ZNF133","positive"
"ZNF133","MER63A",0.646863947330274,"MER63A:ZNF133","positive"
"ZNF133","MER8",0.62413496891298,"MER8:ZNF133","positive"
"ZNF133","Tigger2",0.494012102340708,"Tigger2:ZNF133","positive"
"ZNF133","Tigger2a",0.603042734156742,"Tigger2a:ZNF133","positive"
"ZNF484","L1MB5",0.618299298076204,"L1MB5:ZNF484","positive"
"ZNF484","L1MB8",0.599958385438219,"L1MB8:ZNF484","positive"
"ZNF337","L1MA4A",-0.485782449077412,"L1MA4A:ZNF337","negative"
"ZNF317","L1MB4",0.561014002819878,"L1MB4:ZNF317","positive"
"ZNF317","L1MB5",0.632383415349174,"L1MB5:ZNF317","positive"
"ZNF317","L1MB7",0.642703075167959,"L1MB7:ZNF317","positive"
"ZNF317","L1MB8",0.668864303846482,"L1MB8:ZNF317","positive"
"ZNF317","L1MCa",-0.453321727542866,"L1MCa:ZNF317","negative"
"ZNF317","L1ME3",0.589346137235191,"L1ME3:ZNF317","positive"
"ZNF317","L1ME3A",0.660874062191774,"L1ME3A:ZNF317","positive"
"ZNF141","L1P1",0.506124711568514,"L1P1:ZNF141","positive"
"ZNF141","L1P3",0.512182391810653,"L1P3:ZNF141","positive"
"ZNF141","LTR17",-0.464221348756981,"LTR17:ZNF141","negative"
"ZNF141","LTR25-int",-0.546305953673599,"LTR25-int:ZNF141","negative"
"ZNF141","LTR27B",-0.518850532583406,"LTR27B:ZNF141","negative"
"ZNF141","SVA_D",-0.504196305582872,"SVA_D:ZNF141","negative"
"ZNF132","LTR16B1",0.53181367360139,"LTR16B1:ZNF132","positive"
"ZNF132","LTR16B2",0.586967594400472,"LTR16B2:ZNF132","positive"
"ZNF189","L2a",0.784210907372165,"L2a:ZNF189","positive"
"ZNF189","L2b",0.767545691810857,"L2b:ZNF189","positive"
"ZNF189","L2c",0.778019688707836,"L2c:ZNF189","positive"
"ZNF189","LTR41",0.837110137008777,"LTR41:ZNF189","positive"
"ZNF189","LTR9",0.611310179728868,"LTR9:ZNF189","positive"
"ZIM3","L1M1",0.677799930022654,"L1M1:ZIM3","positive"
"ZIM3","L1M2",0.679747581853485,"L1M2:ZIM3","positive"
"ZIM3","L1M2a",0.594732398248612,"L1M2a:ZIM3","positive"
"ZIM3","L1M2c",0.61212609196799,"L1M2c:ZIM3","positive"
"ZIM3","L1M3c",0.647984350212027,"L1M3c:ZIM3","positive"
