"geneName","teName","coef","pair","group"
"ZNF333","MLT1J1",0.814004855456491,"MLT1J1:ZNF333","positive"
"ZNF333","MLT1J2",0.8451440768358,"MLT1J2:ZNF333","positive"
"ZNF333","MLT1J",0.822934204547481,"MLT1J:ZNF333","positive"
"ZNF382","L1M2a",-0.466675658016494,"L1M2a:ZNF382","negative"
"ZNF382","L1M4",-0.52752584645837,"L1M4:ZNF382","negative"
"ZNF382","L1MCc",-0.464738510239402,"L1MCc:ZNF382","negative"
"ZNF382","L1P4",-0.531858239674004,"L1P4:ZNF382","negative"
"ZNF382","L1PA10",-0.519515689860708,"L1PA10:ZNF382","negative"
"ZNF382","L1PA11",-0.504919890628527,"L1PA11:ZNF382","negative"
"ZNF382","L1PA13",-0.568103944818414,"L1PA13:ZNF382","negative"
"ZNF382","L1PA14",-0.491733712963149,"L1PA14:ZNF382","negative"
"ZNF382","L1PA15-16",-0.499935367052042,"L1PA15-16:ZNF382","negative"
"ZNF382","L1PA16",-0.535074116065524,"L1PA16:ZNF382","negative"
"ZNF382","L1PA2",-0.766883834637448,"L1PA2:ZNF382","negative"
"ZNF382","L1PA3",-0.644919555259115,"L1PA3:ZNF382","negative"
"ZNF382","L1PA4",-0.669591278076433,"L1PA4:ZNF382","negative"
"ZNF382","L1PA8",-0.502534562248949,"L1PA8:ZNF382","negative"
"ZNF382","L1PB2",-0.543436438099215,"L1PB2:ZNF382","negative"
"ZNF382","L1PB",-0.608995577686536,"L1PB:ZNF382","negative"
"ZNF382","L1PREC2",-0.479617424787374,"L1PREC2:ZNF382","negative"
"PRDM9","MSTA",-0.526131949011812,"MSTA:PRDM9","negative"
"PRDM9","SVA_D",-0.534548853795024,"SVA_D:PRDM9","negative"
"PRDM9","SVA_E",-0.570350614589792,"SVA_E:PRDM9","negative"
"PRDM9","THE1A",-0.56724555271174,"THE1A:PRDM9","negative"
"PRDM9","THE1B",-0.538842785598295,"THE1B:PRDM9","negative"
"PRDM9","THE1D",-0.497699165470657,"THE1D:PRDM9","negative"
"ZNF202","LTR12E",0.535617423643359,"LTR12E:ZNF202","positive"
"ZNF202","SVA_D",0.614161875221642,"SVA_D:ZNF202","positive"
"ZNF202","SVA_E",0.598846086607243,"SVA_E:ZNF202","positive"
"ZNF202","SVA_F",0.568080057626277,"SVA_F:ZNF202","positive"
"ZNF641","LTR12D",0.527660167536634,"LTR12D:ZNF641","positive"
"ZNF641","SVA_A",0.472480130410644,"SVA_A:ZNF641","positive"
"ZNF641","SVA_B",0.624286420924486,"SVA_B:ZNF641","positive"
"ZNF528","L1PB1",-0.589885018215044,"L1PB1:ZNF528","negative"
"ZNF528","L1PB2",-0.485134405901449,"L1PB2:ZNF528","negative"
"ZNF528","L1PBa1",-0.446201258244269,"L1PBa1:ZNF528","negative"
"ZNF528","L1PBa",-0.617305230510606,"L1PBa:ZNF528","negative"
"ZNF528","MER34C2",0.476426188113833,"MER34C2:ZNF528","positive"
"ZNF558","SVA_C",0.467121214278567,"SVA_C:ZNF558","positive"
"ZNF30","LTR12C",0.448659435942438,"LTR12C:ZNF30","positive"
"ZNF778","LTR13",0.520364429425755,"LTR13:ZNF778","positive"
"ZNF778","MLT1A0",0.49747489018948,"MLT1A0:ZNF778","positive"
"ZNF778","MLT1A1",0.450579667655515,"MLT1A1:ZNF778","positive"
"ZNF778","MLT1A",0.450962738954821,"MLT1A:ZNF778","positive"
"ZNF778","MSTC",0.455206351634961,"MSTC:ZNF778","positive"
"ZNF778","MSTD",0.471946832720116,"MSTD:ZNF778","positive"
"ZNF440","L1M4b",-0.5103462408763,"L1M4b:ZNF440","negative"
"ZNF440","L1PA14",-0.459068428286876,"L1PA14:ZNF440","negative"
"ZNF440","L1PB1",-0.574349653627155,"L1PB1:ZNF440","negative"
"ZNF440","LTR10B1",0.645381110440628,"LTR10B1:ZNF440","positive"
"ZNF440","MER4A1",0.459391601088527,"MER4A1:ZNF440","positive"
"ZNF584","SVA_C",0.643416886219965,"SVA_C:ZNF584","positive"
"ZIK1","AluSx",-0.689235835526425,"AluSx:ZIK1","negative"
"ZIK1","L1MC4a",0.653151469480987,"L1MC4a:ZIK1","positive"
"ZNF417","HERVK14-int",0.508125516390101,"HERVK14-int:ZNF417","positive"
"ZNF417","LTR10B1",0.467790625732545,"LTR10B1:ZNF417","positive"
"ZNF417","LTR12C",0.469194618648388,"LTR12C:ZNF417","positive"
"ZNF417","MER66C",0.468224083465769,"MER66C:ZNF417","positive"
"ZNF519","MER52D",0.565082977998231,"MER52D:ZNF519","positive"
"ZNF519","SVA_B",0.528612319638453,"SVA_B:ZNF519","positive"
"ZNF519","SVA_C",0.613532458380989,"SVA_C:ZNF519","positive"
"ZNF519","SVA_F",0.479854104217275,"SVA_F:ZNF519","positive"
"ZNF77","L1M4c",-0.535993246445779,"L1M4c:ZNF77","negative"
"ZNF77","L2a",0.472453183119243,"L2a:ZNF77","positive"
"ZNF77","LTR26",0.45355666153578,"LTR26:ZNF77","positive"
"ZNF77","MER57E1",0.481036691683207,"MER57E1:ZNF77","positive"
"ZNF169","MER31B",0.622946141989629,"MER31B:ZNF169","positive"
"ZNF169","SVA_A",0.455144502087512,"SVA_A:ZNF169","positive"
"ZNF169","SVA_B",0.579565459780947,"SVA_B:ZNF169","positive"
"ZNF169","SVA_F",0.453581046640598,"SVA_F:ZNF169","positive"
"ZNF135","AluJb",-0.443331508887547,"AluJb:ZNF135","negative"
"ZNF354C","L1ME3",0.530126275874158,"L1ME3:ZNF354C","positive"
"ZNF354C","L1PA2",-0.521909833514626,"L1PA2:ZNF354C","negative"
"ZNF354C","L1PA3",-0.486236485753085,"L1PA3:ZNF354C","negative"
"ZNF354C","L1PA4",-0.533031127622158,"L1PA4:ZNF354C","negative"
"ZNF354C","L1PA6",-0.483504925773858,"L1PA6:ZNF354C","negative"
"ZNF354C","MLT1B",0.551570901991698,"MLT1B:ZNF354C","positive"
"ZNF354C","MSTD",0.574981526215895,"MSTD:ZNF354C","positive"
"ZNF154","L1M2a",-0.551256666781808,"L1M2a:ZNF154","negative"
"ZNF154","L1M4",-0.543083317989345,"L1M4:ZNF154","negative"
"ZNF154","L1MB4",0.493827136177924,"L1MB4:ZNF154","positive"
"ZNF154","L1MB7",0.596311796079508,"L1MB7:ZNF154","positive"
"ZNF792","MER89",0.49895508381319,"MER89:ZNF792","positive"
"ZNF708","MER57-int",0.462146606522484,"MER57-int:ZNF708","positive"
"ZNF320","LTR12C",0.715996633071135,"LTR12C:ZNF320","positive"
"ZNF320","LTR14",0.64832332274424,"LTR14:ZNF320","positive"
"ZNF320","LTR14A",0.533054710266919,"LTR14A:ZNF320","positive"
"ZNF320","LTR14B",0.576931088028224,"LTR14B:ZNF320","positive"
"ZNF320","LTR25-int",0.64578064739031,"LTR25-int:ZNF320","positive"
"ZNF320","LTR5B",0.754621235053614,"LTR5B:ZNF320","positive"
"ZNF320","LTR5_Hs",0.734624635578416,"LTR5_Hs:ZNF320","positive"
"ZNF320","MER54A",0.733112399895661,"MER54A:ZNF320","positive"
"ZNF320","MER9a3",0.691893094894352,"MER9a3:ZNF320","positive"
"ZNF320","MSTA",0.681278459577409,"MSTA:ZNF320","positive"
"ZNF320","MSTB1",0.676121133149791,"MSTB1:ZNF320","positive"
"ZNF320","MSTB2",0.635537120903317,"MSTB2:ZNF320","positive"
"ZNF320","MSTB",0.671144473075584,"MSTB:ZNF320","positive"
"ZNF530","MER34C2",0.452553166118198,"MER34C2:ZNF530","positive"
"ZNF730","SVA_E",-0.472109910416975,"SVA_E:ZNF730","negative"
"ZNF445","AluSc8",-0.751350837730007,"AluSc8:ZNF445","negative"
"ZNF445","AluSg",-0.606396734665862,"AluSg:ZNF445","negative"
"ZNF445","AluSp",-0.675988834259405,"AluSp:ZNF445","negative"
"ZNF445","AluSx1",-0.650644951869458,"AluSx1:ZNF445","negative"
"ZNF445","AluSx3",-0.750702374680857,"AluSx3:ZNF445","negative"
"ZNF445","AluYa8",-0.676967774847901,"AluYa8:ZNF445","negative"
"ZNF445","AluYd8",-0.781129475040233,"AluYd8:ZNF445","negative"
"ZNF17","HERVK-int",0.780112051295738,"HERVK-int:ZNF17","positive"
"ZNF17","L1P3",-0.58218957366853,"L1P3:ZNF17","negative"
"ZNF17","L1PA2",-0.622825708437626,"L1PA2:ZNF17","negative"
"ZNF17","L1PA3",-0.515374794299447,"L1PA3:ZNF17","negative"
"ZNF17","L1PA4",-0.565656766409667,"L1PA4:ZNF17","negative"
"ZNF17","L1PA7",-0.511921133858257,"L1PA7:ZNF17","negative"
"ZNF17","MLT2B1",0.546343532300462,"MLT2B1:ZNF17","positive"
"ZNF17","MLT2B4",0.66244019443597,"MLT2B4:ZNF17","positive"
"ZNF555","L1MCa",-0.521001399605638,"L1MCa:ZNF555","negative"
"ZNF197","L1M2a",-0.4455384489812,"L1M2a:ZNF197","negative"
"ZNF197","L1MCc",-0.477627524932139,"L1MCc:ZNF197","negative"
"ZFP69B","L1MD",-0.49208338479142,"L1MD:ZFP69B","negative"
"ZFP69B","LTR1D",0.486255817557843,"LTR1D:ZFP69B","positive"
"ZFP69B","LTR77",0.611725443421076,"LTR77:ZFP69B","positive"
"ZFP69B","MER52A",0.62499107402669,"MER52A:ZFP69B","positive"
"ZFP69","L1MB5",0.492758838646702,"L1MB5:ZFP69","positive"
"ZFP69","L1MCa",-0.45335155705003,"L1MCa:ZFP69","negative"
"ZFP69","LTR10B1",0.490841864530406,"LTR10B1:ZFP69","positive"
"ZFP69","LTR8",0.468647099532125,"LTR8:ZFP69","positive"
"ZFP69","MLT1D",0.479637903827601,"MLT1D:ZFP69","positive"
"ZNF383","MLT1J2",-0.468117981318995,"MLT1J2:ZNF383","negative"
"ZNF383","MLT1J",-0.481119416358682,"MLT1J:ZNF383","negative"
"ZNF383","MLT1L",-0.476048796913569,"MLT1L:ZNF383","negative"
"ZNF567","L1MC",0.52867082914854,"L1MC:ZNF567","positive"
"ZNF567","L1MCa",-0.460546892644916,"L1MCa:ZNF567","negative"
"ZNF567","L1ME3A",0.654058162158664,"L1ME3A:ZNF567","positive"
"ZNF567","L1MEd",-0.592582723249794,"L1MEd:ZNF567","negative"
"ZNF567","L1MEf",-0.504322340133795,"L1MEf:ZNF567","negative"
"ZNF567","L1MEg2",0.465124677351672,"L1MEg2:ZNF567","positive"
"ZNF567","L1MEg",-0.498974252362859,"L1MEg:ZNF567","negative"
"ZNF567","LTR12D",0.524303086792572,"LTR12D:ZNF567","positive"
"ZNF573","LTR22A",-0.466609271614172,"LTR22A:ZNF573","negative"
"ZNF573","LTR41",-0.473521753934634,"LTR41:ZNF573","negative"
"ZNF573","LTR41B",-0.490331792137686,"LTR41B:ZNF573","negative"
"ZNF573","LTR50",-0.473082996091379,"LTR50:ZNF573","negative"
"ZNF573","MLT1G",-0.522366083476228,"MLT1G:ZNF573","negative"
"ZNF33A","LTR10B1",0.651972986270029,"LTR10B1:ZNF33A","positive"
"ZNF33A","MER66D",0.452096772953896,"MER66D:ZNF33A","positive"
"ZNF33A","MER89",0.718981850390816,"MER89:ZNF33A","positive"
"ZNF33A","THE1D",0.690800220959266,"THE1D:ZNF33A","positive"
"ZNF79","L1MEb",-0.649567280872193,"L1MEb:ZNF79","negative"
"ZNF681","AluYc3",-0.547994209687653,"AluYc3:ZNF681","negative"
"ZNF681","LTR19C",0.542621093079924,"LTR19C:ZNF681","positive"
"ZNF681","MER61C",-0.601452118454056,"MER61C:ZNF681","negative"
"ZNF681","MER61D",0.566968935810334,"MER61D:ZNF681","positive"
"ZNF681","MER61E",0.675588545172176,"MER61E:ZNF681","positive"
"ZNF765","MSTA-int",-0.594706029332927,"MSTA-int:ZNF765","negative"
"ZNF765","THE1A-int",-0.554119628285763,"THE1A-int:ZNF765","negative"
"ZNF765","THE1B-int",-0.589221617170776,"THE1B-int:ZNF765","negative"
"ZNF765","THE1C-int",-0.535558406483233,"THE1C-int:ZNF765","negative"
"ZNF765","THE1D-int",-0.508397073190892,"THE1D-int:ZNF765","negative"
"ZNF124","LOR1a",-0.501088984078446,"LOR1a:ZNF124","negative"
"ZNF605","LTR12E",-0.482403537310581,"LTR12E:ZNF605","negative"
"ZNF605","LTR14B",-0.487662761204937,"LTR14B:ZNF605","negative"
"ZNF605","MamGypLTR3",-0.47381459095746,"MamGypLTR3:ZNF605","negative"
"ZNF782","L1M4",-0.452040251102156,"L1M4:ZNF782","negative"
"ZNF782","L1M4b",-0.692056888167583,"L1M4b:ZNF782","negative"
"ZNF782","L1MB7",0.641156399374982,"L1MB7:ZNF782","positive"
"ZNF782","L1MEf",-0.659029871637318,"L1MEf:ZNF782","negative"
"ZNF136","L1MB4",0.615133341697637,"L1MB4:ZNF136","positive"
"ZNF136","L1MB5",0.689248540555364,"L1MB5:ZNF136","positive"
"ZNF136","L1MB7",0.647579913854591,"L1MB7:ZNF136","positive"
"ZNF136","L1MB8",0.600822310939263,"L1MB8:ZNF136","positive"
"ZNF136","L1MCc",-0.445320598346328,"L1MCc:ZNF136","negative"
"ZNF136","L1ME3",0.578799559292258,"L1ME3:ZNF136","positive"
"ZNF136","L1ME3A",0.663139952755515,"L1ME3A:ZNF136","positive"
"ZNF136","L1PA10",-0.508321001835126,"L1PA10:ZNF136","negative"
"ZNF136","L1PA11",-0.481583001477891,"L1PA11:ZNF136","negative"
"ZNF136","L1PA13",-0.557532384267556,"L1PA13:ZNF136","negative"
"ZNF136","L1PA14",-0.490750975525245,"L1PA14:ZNF136","negative"
"ZNF136","L1PA15-16",-0.471725875340584,"L1PA15-16:ZNF136","negative"
"ZNF136","L1PA15",-0.546361587297176,"L1PA15:ZNF136","negative"
"ZNF136","L1PA2",-0.665130534141594,"L1PA2:ZNF136","negative"
"ZNF136","L1PA3",-0.614763552210649,"L1PA3:ZNF136","negative"
"ZNF136","L1PA4",-0.635559379524363,"L1PA4:ZNF136","negative"
"ZNF136","L1PA8",-0.478402008476492,"L1PA8:ZNF136","negative"
"ZNF136","L1PB2",-0.51352681520008,"L1PB2:ZNF136","negative"
"ZKSCAN5","L2a",0.842524756721711,"L2a:ZKSCAN5","positive"
"ZKSCAN5","LTR14B",0.657853987682274,"LTR14B:ZKSCAN5","positive"
"ZKSCAN5","MER1A",0.878534975351737,"MER1A:ZKSCAN5","positive"
"ZKSCAN5","MSTB1",0.782723845069533,"MSTB1:ZKSCAN5","positive"
"ZKSCAN5","MSTB",0.778624970622231,"MSTB:ZKSCAN5","positive"
"ZKSCAN5","SVA_B",0.608870796098515,"SVA_B:ZKSCAN5","positive"
"ZKSCAN5","SVA_D",0.839418281550235,"SVA_D:ZKSCAN5","positive"
"ZKSCAN5","SVA_E",0.826491344095161,"SVA_E:ZKSCAN5","positive"
"ZKSCAN5","SVA_F",0.674513561357229,"SVA_F:ZKSCAN5","positive"
"ZNF431","LTR14B",-0.591912341074944,"LTR14B:ZNF431","negative"
"ZNF431","LTR33B",-0.444792000709843,"LTR33B:ZNF431","negative"
"ZNF431","THE1B",-0.528102281083118,"THE1B:ZNF431","negative"
"ZNF418","MER31B",0.701100883863714,"MER31B:ZNF418","positive"
"ZNF441","AluSp",-0.691720003882914,"AluSp:ZNF441","negative"
"ZNF441","AluSq2",-0.687320719622313,"AluSq2:ZNF441","negative"
"ZNF441","AluSx",-0.704964334021027,"AluSx:ZNF441","negative"
"ZNF441","AluSz",-0.666684027852905,"AluSz:ZNF441","negative"
"ZNF441","AluYd8",-0.653580603410615,"AluYd8:ZNF441","negative"
"ZNF257","AluJb",0.51005402507973,"AluJb:ZNF257","positive"
"ZNF257","AluJr",0.475766753372338,"AluJr:ZNF257","positive"
"ZNF786","AluJb",-0.548118792590399,"AluJb:ZNF786","negative"
"ZNF786","LTR12D",0.482652916396082,"LTR12D:ZNF786","positive"
"ZNF786","LTR71B",0.514124282898681,"LTR71B:ZNF786","positive"
"ZNF675","AluYd8",-0.713369627728437,"AluYd8:ZNF675","negative"
"ZNF675","LTR13_",0.716319017226256,"LTR13_:ZNF675","positive"
"ZNF675","LTR18A",0.502111169475836,"LTR18A:ZNF675","positive"
"ZNF675","MST-int",0.548178465407532,"MST-int:ZNF675","positive"
"ZNF675","MSTB-int",0.734644731549518,"MSTB-int:ZNF675","positive"
"ZNF675","MSTB1-int",0.61371610592509,"MSTB1-int:ZNF675","positive"
"ZNF675","MSTC-int",0.530072576580947,"MSTC-int:ZNF675","positive"
"ZNF615","MER68",0.664847989310572,"MER68:ZNF615","positive"
"ZNF615","MLT1F",0.652001771659659,"MLT1F:ZNF615","positive"
