"count","group"
45391,"cluster1"
44817,"cluster1"
45022,"cluster1"
47763,"cluster1"
39384,"cluster1"
52727,"cluster1"
40099,"cluster1"
43183,"cluster1"
40717,"cluster1"
50523,"cluster1"
45325,"cluster1"
50682,"cluster1"
43217,"cluster1"
44209,"cluster1"
44783,"cluster1"
46319,"cluster1"
40140,"cluster1"
36200,"cluster1"
43005,"cluster1"
49125,"cluster1"
48103,"cluster1"
45894,"cluster1"
49357,"cluster1"
36035,"cluster1"
39342,"cluster1"
33056,"cluster1"
44540,"cluster1"
47671,"cluster1"
44338,"cluster1"
51138,"cluster1"
37178,"cluster1"
43091,"cluster1"
50382,"cluster1"
48796,"cluster1"
38948,"cluster1"
55884,"cluster1"
49647,"cluster1"
34748,"cluster1"
44744,"cluster1"
46044,"cluster1"
45479,"cluster1"
34718,"cluster1"
49769,"cluster1"
42691,"cluster1"
37658,"cluster1"
37179,"cluster1"
47274,"cluster1"
46268,"cluster1"
47287,"cluster1"
47217,"cluster1"
45790,"cluster1"
46392,"cluster1"
40333,"cluster1"
43125,"cluster1"
51222,"cluster1"
32660,"cluster1"
42535,"cluster1"
46781,"cluster1"
46061,"cluster1"
42425,"cluster1"
39179,"cluster1"
39943,"cluster1"
41172,"cluster1"
38755,"cluster1"
42704,"cluster1"
43553,"cluster1"
41424,"cluster1"
48315,"cluster1"
37771,"cluster1"
54115,"cluster1"
37470,"cluster1"
42325,"cluster1"
38114,"cluster1"
44358,"cluster1"
42217,"cluster1"
46655,"cluster1"
45801,"cluster1"
54291,"cluster1"
39902,"cluster1"
50778,"cluster1"
44982,"cluster1"
41531,"cluster1"
41018,"cluster1"
43024,"cluster1"
47970,"cluster1"
45202,"cluster1"
45485,"cluster1"
39518,"cluster1"
36038,"cluster1"
44275,"cluster1"
42422,"cluster1"
38786,"cluster1"
43492,"cluster1"
40977,"cluster1"
47688,"cluster1"
42283,"cluster1"
45679,"cluster1"
35853,"cluster1"
43102,"cluster1"
42755,"cluster1"
43296,"cluster1"
51688,"cluster1"
41752,"cluster1"
42860,"cluster1"
43632,"cluster1"
40260,"cluster1"
35930,"cluster1"
52451,"cluster1"
38911,"cluster1"
37070,"cluster1"
28640,"cluster1"
36953,"cluster1"
42955,"cluster1"
45827,"cluster1"
36781,"cluster1"
40610,"cluster1"
45500,"cluster1"
36928,"cluster1"
34920,"cluster1"
49956,"cluster1"
39846,"cluster1"
46148,"cluster1"
49059,"cluster1"
44210,"cluster1"
39325,"cluster1"
45275,"cluster1"
49051,"cluster1"
45794,"cluster1"
36279,"cluster1"
42139,"cluster1"
32176,"cluster1"
50441,"cluster1"
36007,"cluster1"
36523,"cluster1"
38809,"cluster1"
44567,"cluster1"
36038,"cluster1"
40580,"cluster1"
43811,"cluster1"
44560,"cluster1"
43977,"cluster1"
47652,"cluster1"
40692,"cluster1"
45085,"cluster1"
38108,"cluster1"
44971,"cluster1"
40298,"cluster1"
44606,"cluster1"
43516,"cluster1"
47380,"cluster1"
43537,"cluster1"
37692,"cluster1"
37956,"cluster1"
47255,"cluster1"
45592,"cluster1"
38337,"cluster1"
44446,"cluster1"
45812,"cluster1"
46335,"cluster1"
44719,"cluster1"
44188,"cluster1"
40818,"cluster1"
48206,"cluster1"
51992,"cluster1"
41791,"cluster1"
36739,"cluster1"
41871,"cluster1"
46721,"cluster1"
32016,"cluster1"
45894,"cluster1"
46626,"cluster1"
37623,"cluster1"
41295,"cluster1"
47858,"cluster1"
42496,"cluster1"
39546,"cluster1"
40788,"cluster1"
38036,"cluster1"
39584,"cluster1"
35363,"cluster1"
38451,"cluster1"
38583,"cluster1"
40367,"cluster1"
40626,"cluster1"
45945,"cluster1"
48106,"cluster1"
49654,"cluster1"
47811,"cluster1"
43888,"cluster1"
43135,"cluster1"
46425,"cluster1"
43243,"cluster1"
46682,"cluster1"
36801,"cluster1"
40008,"cluster1"
39875,"cluster1"
38874,"cluster1"
44149,"cluster1"
44221,"cluster1"
42534,"cluster1"
54039,"cluster1"
42192,"cluster1"
42476,"cluster1"
37940,"cluster1"
44454,"cluster1"
38817,"cluster1"
41745,"cluster1"
47093,"cluster1"
38173,"cluster1"
39324,"cluster1"
42706,"cluster1"
