"geneName","teName","coef","pvalue","padj","pair","kznf_age","te_age","link_age","family_id","class_id"
"ZNF506","AluJb",0.650970465246347,5.4116383930996e-06,2.95963465288711e-05,"AluJb:ZNF506","old","old","old","Alu","SINE"
"ZNF506","HUERS-P3-int",-0.659701833418538,3.65262303476237e-06,2.1020956502735e-05,"HUERS-P3-int:ZNF506","old","old","old","ERV1","LTR"
"ZNF506","LTR13",-0.655290229590136,4.46219052198262e-06,2.50397877265456e-05,"LTR13:ZNF506","old","young","young","ERVK","LTR"
"ZNF506","LTR25-int",-0.611902602374087,2.72395662140849e-05,0.00012076503522824,"LTR25-int:ZNF506","old","young","young","ERV1","LTR"
"ZNF506","MER9a3",-0.594463314841699,5.23899440532407e-05,0.00021437295913649,"MER9a3:ZNF506","old","young","young","ERVK","LTR"
"ZNF506","MLT1A",-0.637865813047854,9.54162277647307e-06,4.84934787061375e-05,"MLT1A:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF506","MLT1G1",-0.605698855252342,3.45272866283731e-05,0.00014872953849395,"MLT1G1:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF506","MSTA-int",-0.669854087876646,2.27525668337354e-06,1.40080405582795e-05,"MSTA-int:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF506","THE1A-int",-0.62240751305196,1.8021954805658e-05,8.43010838598025e-05,"THE1A-int:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF506","THE1B-int",-0.621083845671323,1.90005239249764e-05,8.82765127722736e-05,"THE1B-int:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF506","THE1C-int",-0.587768195908576,6.66771171933396e-05,0.00026485555009028,"THE1C-int:ZNF506","old","old","old","ERVL-MaLR","LTR"
"ZNF671","ERVL-B4-int",0.799843148510615,5.96706985141702e-10,1.45376599341318e-08,"ERVL-B4-int:ZNF671","old","old","old","ERVL","LTR"
"ZNF671","LTR13",0.807547959638261,3.04255308475656e-10,8.46067718346928e-09,"LTR13:ZNF671","old","young","young","ERVK","LTR"
"ZNF671","MLT2B3",0.749404261491951,2.64102752260019e-08,3.25948918853781e-07,"MLT2B3:ZNF671","old","old","old","ERVL","LTR"
"ZNF671","MSTA",0.785721060939047,1.9076246170271e-09,3.72260616160653e-08,"MSTA:ZNF671","old","young","young","ERVL-MaLR","LTR"
"ZNF430","THE1A",-0.728720119265746,9.75441517929374e-08,9.68176402678795e-07,"THE1A:ZNF430","old","young","young","ERVL-MaLR","LTR"
"ZNF430","THE1B",-0.734054139485385,7.04469268106365e-08,7.35763643234626e-07,"THE1B:ZNF430","old","young","young","ERVL-MaLR","LTR"
"ZNF430","THE1C",-0.70691639581902,3.42298666478692e-07,2.78773970369305e-06,"THE1C:ZNF430","old","young","young","ERVL-MaLR","LTR"
"ZNF430","THE1D",-0.693449924255255,7.03600053409518e-07,5.13456321297848e-06,"THE1D:ZNF430","old","young","young","ERVL-MaLR","LTR"
"ZNF549","MER1A",0.829897690112325,3.58911862281951e-11,1.54717906792735e-09,"MER1A:ZNF549","old","young","young","hAT-Charlie","DNA"
"ZNF549","MER57C1",0.657601374839608,4.01954269136639e-06,2.2854072530194e-05,"MER57C1:ZNF549","old","old","old","ERV1","LTR"
"ZNF133","MER63A",0.646863947330274,6.48278772110538e-06,3.46201258978374e-05,"MER63A:ZNF133","old","old","old","hAT-Blackjack","DNA"
"ZNF484","L1MC5",0.726119750558475,1.14003561423674e-07,1.10460305959164e-06,"L1MC5:ZNF484","old","old","old","L1","LINE"
"ZNF337","L1M2c",-0.662692112090584,3.18318202156675e-06,1.86680054431387e-05,"L1M2c:ZNF337","old","old","old","L1","LINE"
"ZNF337","L1M4",-0.660026461989623,3.5987447199555e-06,2.07518531358892e-05,"L1M4:ZNF337","old","old","old","L1","LINE"
